Timestamp,Timestamp_AEST,A0-A1_mV,A2-A3_mV
1744248755.5567644,2025-04-10 11:32:35.556764,0.906,-19.695
1744248756.6308236,2025-04-10 11:32:36.630824,0.914,-19.672
1744248757.7067404,2025-04-10 11:32:37.706740,0.914,-19.664
1744248758.7805266,2025-04-10 11:32:38.780527,0.914,-19.656
1744248759.8933187,2025-04-10 11:32:39.893319,0.914,-19.68
1744248761.0201201,2025-04-10 11:32:41.020120,0.906,-19.68
1744248762.0960717,2025-04-10 11:32:42.096072,0.914,-19.68
1744248763.171451,2025-04-10 11:32:43.171451,0.906,-19.672
1744248764.2997866,2025-04-10 11:32:44.299787,0.906,-19.648
1744248765.4238954,2025-04-10 11:32:45.423895,0.898,-19.648
1744248766.569113,2025-04-10 11:32:46.569113,0.906,-19.648
1744248767.6781154,2025-04-10 11:32:47.678115,0.906,-19.664
1744248768.8034794,2025-04-10 11:32:48.803479,0.914,-19.656
1744248769.9292762,2025-04-10 11:32:49.929276,0.914,-19.648
1744248771.0572066,2025-04-10 11:32:51.057207,0.906,-19.648
1744248772.180204,2025-04-10 11:32:52.180204,0.906,-19.633
1744248773.3064854,2025-04-10 11:32:53.306485,0.906,-19.625
1744248774.3800411,2025-04-10 11:32:54.380041,0.906,-19.625
1744248775.4540915,2025-04-10 11:32:55.454092,0.906,-19.609
1744248776.5292318,2025-04-10 11:32:56.529232,0.898,-19.602
1744248777.6084309,2025-04-10 11:32:57.608431,0.906,-19.594
1744248778.737035,2025-04-10 11:32:58.737035,0.906,-19.594
1744248779.8612702,2025-04-10 11:32:59.861270,0.906,-19.594
1744248780.9873052,2025-04-10 11:33:00.987305,0.914,-19.586
1744248782.1137455,2025-04-10 11:33:02.113745,0.922,-19.57
1744248783.2422886,2025-04-10 11:33:03.242289,0.914,-19.523
1744248784.36818,2025-04-10 11:33:04.368180,0.914,-19.586
1744248786.5229192,2025-04-10 11:33:06.522919,0.922,-19.57
1744248787.6490228,2025-04-10 11:33:07.649023,0.93,-19.547
1744248788.7995594,2025-04-10 11:33:08.799559,0.922,-19.555
1744248789.8969321,2025-04-10 11:33:09.896932,0.922,-19.562
1744248791.0222564,2025-04-10 11:33:11.022256,0.922,-19.562
1744248792.1655595,2025-04-10 11:33:12.165560,0.922,-19.539
1744248793.3062432,2025-04-10 11:33:13.306243,0.938,-19.523
1744248794.4013982,2025-04-10 11:33:14.401398,0.922,-19.531
1744248795.4801865,2025-04-10 11:33:15.480186,0.938,-19.531
1744248796.559139,2025-04-10 11:33:16.559139,0.93,-19.523
1744248797.6356409,2025-04-10 11:33:17.635641,0.93,-19.531
1744248798.8067076,2025-04-10 11:33:18.806708,0.93,-19.516
1744248799.9329321,2025-04-10 11:33:19.932932,0.93,-19.523
1744248801.0604472,2025-04-10 11:33:21.060447,0.93,-19.531
1744248802.1327279,2025-04-10 11:33:22.132728,0.938,-19.539
1744248803.2129977,2025-04-10 11:33:23.212998,0.945,-19.57
1744248804.3339534,2025-04-10 11:33:24.333953,0.938,-19.555
1744248805.4839275,2025-04-10 11:33:25.483927,0.945,-19.555
1744248806.5887349,2025-04-10 11:33:26.588735,0.938,-19.562
1744248807.7156274,2025-04-10 11:33:27.715627,0.945,-19.555
1744248808.8461008,2025-04-10 11:33:28.846101,0.93,-19.555
1744248809.9199893,2025-04-10 11:33:29.919989,0.938,-19.523
1744248811.0946882,2025-04-10 11:33:31.094688,0.93,-19.547
1744248812.223861,2025-04-10 11:33:32.223861,0.938,-19.531
1744248813.3703969,2025-04-10 11:33:33.370397,0.938,-19.562
